time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16
0.33;videos/cuts_train/fall01.mp4;walk;(206.84, 62.22);(208.34, 59.82);(204.44, 60.42);(212.53, 60.42);(202.05, 62.22);(220.92, 74.52);(198.45, 76.61);(226.01, 91.6);(197.85, 91.0);(228.11, 108.09);(193.36, 107.49);(219.12, 108.09);(204.44, 107.79);(221.52, 132.68);(205.04, 132.68);(223.01, 156.66);(205.64, 156.66)
0.37;videos/cuts_train/fall01.mp4;walk;(206.64, 62.03);(208.13, 59.63);(204.25, 59.93);(212.31, 60.23);(202.16, 62.03);(220.97, 74.91);(198.57, 76.1);(226.05, 91.38);(197.08, 91.08);(227.84, 107.85);(194.69, 106.35);(218.88, 106.65);(204.25, 106.65);(221.57, 133.3);(205.44, 133.3);(220.67, 158.16);(206.04, 158.16)
0.4;videos/cuts_train/fall01.mp4;walk;(206.53, 62.37);(208.03, 59.97);(203.85, 60.27);(212.2, 60.27);(201.76, 62.37);(220.85, 74.64);(198.48, 76.44);(226.22, 92.3);(196.39, 92.3);(227.71, 108.47);(194.01, 106.97);(218.76, 108.77);(204.45, 108.77);(220.85, 132.42);(205.34, 133.02);(220.85, 156.67);(205.94, 155.77)
0.43;videos/cuts_train/fall01.mp4;walk;(206.63, 62.17);(208.13, 59.78);(203.94, 60.08);(212.02, 60.08);(201.84, 62.17);(220.7, 74.44);(198.55, 75.94);(226.68, 91.5);(196.46, 91.8);(227.88, 107.96);(194.36, 107.36);(218.9, 109.16);(204.54, 109.16);(220.7, 133.1);(205.14, 133.4);(218.6, 155.25);(206.03, 155.25)
0.47;videos/cuts_train/fall01.mp4;walk;(206.44, 62.08);(208.23, 59.99);(204.06, 60.29);(212.4, 60.29);(201.67, 62.08);(221.04, 74.66);(198.69, 76.16);(226.71, 92.03);(196.01, 92.03);(227.9, 108.51);(191.24, 107.91);(218.96, 108.51);(204.36, 108.81);(220.45, 131.27);(205.25, 132.77);(218.36, 154.93);(205.85, 155.83)
0.5;videos/cuts_train/fall01.mp4;walk;(206.81, 62.17);(208.3, 59.78);(204.41, 60.08);(212.49, 60.08);(202.32, 62.17);(220.87, 74.74);(198.43, 75.94);(225.96, 92.09);(196.33, 92.09);(227.75, 108.55);(190.95, 107.65);(219.07, 108.55);(204.71, 110.05);(219.97, 132.19);(205.01, 133.99);(217.88, 155.53);(206.21, 155.53)
0.53;videos/cuts_train/fall01.mp4;walk;(207.44, 62.07);(208.94, 59.37);(205.05, 60.27);(213.12, 60.27);(202.96, 62.07);(220.28, 74.95);(198.48, 76.75);(226.55, 92.32);(192.81, 92.02);(227.75, 109.1);(189.23, 107.6);(218.79, 109.1);(204.46, 109.4);(220.28, 133.37);(205.05, 134.27);(219.98, 156.73);(206.55, 156.13)
0.57;videos/cuts_train/fall01.mp4;walk;(207.52, 61.87);(209.32, 59.77);(205.43, 60.07);(213.5, 60.07);(203.03, 61.87);(220.09, 74.74);(198.85, 76.24);(226.07, 92.11);(192.86, 92.41);(227.56, 108.29);(188.67, 107.39);(218.59, 108.59);(204.53, 108.89);(220.09, 133.14);(205.43, 133.74);(220.09, 157.1);(207.52, 155.9)
0.6;videos/cuts_train/fall01.mp4;walk;(207.89, 61.56);(209.39, 59.17);(205.8, 60.07);(213.88, 59.77);(203.4, 61.27);(220.76, 75.35);(199.21, 76.55);(226.15, 92.44);(192.93, 91.54);(228.25, 108.63);(189.03, 106.83);(218.67, 109.23);(204.6, 109.53);(219.27, 133.51);(205.5, 134.41);(219.87, 157.49);(207.89, 156.89)
0.63;videos/cuts_train/fall01.mp4;walk;(208.24, 62.26);(209.73, 59.56);(206.15, 60.46);(213.9, 59.86);(203.76, 61.96);(221.06, 75.12);(199.59, 76.62);(226.43, 92.78);(193.03, 91.58);(228.51, 108.94);(188.26, 107.44);(218.67, 109.24);(204.66, 109.54);(218.97, 132.88);(205.25, 134.08);(219.57, 157.12);(208.24, 156.53)
0.67;videos/cuts_train/fall01.mp4;walk;(208.56, 62.24);(210.06, 59.84);(206.46, 60.44);(214.56, 60.14);(204.37, 62.24);(221.45, 74.82);(199.87, 76.62);(226.85, 93.09);(193.27, 91.59);(229.25, 109.26);(189.38, 105.67);(218.76, 109.26);(204.67, 109.26);(219.06, 132.93);(205.26, 133.83);(219.36, 156.89);(207.66, 155.99)
0.7;videos/cuts_train/fall01.mp4;walk;(209.07, 61.99);(210.86, 59.59);(206.98, 60.19);(215.04, 59.89);(204.6, 62.29);(222.2, 75.17);(200.12, 76.66);(227.57, 93.14);(193.26, 91.64);(229.66, 109.62);(189.38, 106.02);(218.92, 109.62);(205.19, 109.62);(218.92, 132.98);(205.49, 134.18);(219.51, 157.54);(208.18, 155.75)
0.73;videos/cuts_train/fall01.mp4;walk;(209.46, 61.77);(211.25, 59.67);(207.37, 59.97);(215.73, 59.97);(205.28, 61.77);(222.6, 74.97);(200.81, 76.47);(227.97, 92.67);(193.04, 91.77);(230.66, 109.47);(189.16, 105.87);(219.31, 109.17);(205.28, 109.47);(219.01, 133.17);(204.98, 133.77);(219.31, 157.47);(206.18, 155.97)
0.77;videos/cuts_train/fall01.mp4;walk;(209.73, 61.81);(211.82, 59.71);(207.93, 60.01);(216.59, 60.01);(205.84, 61.81);(223.46, 74.98);(201.37, 76.18);(229.13, 92.94);(193.6, 91.15);(231.52, 109.71);(190.32, 105.52);(219.58, 108.81);(205.55, 109.11);(219.28, 133.36);(205.55, 134.26);(219.28, 157.31);(207.93, 155.81)
0.8;videos/cuts_train/fall01.mp4;walk;(210.4, 61.87);(212.2, 59.17);(208.31, 60.07);(216.98, 60.37);(206.21, 61.87);(223.86, 75.35);(201.13, 76.55);(230.14, 93.33);(194.25, 91.24);(231.64, 110.12);(190.36, 105.92);(220.27, 109.22);(205.62, 109.22);(219.08, 134.09);(205.62, 134.09);(219.38, 157.17);(208.31, 155.67)
0.83;videos/cuts_train/fall01.mp4;walk;(210.25, 61.65);(212.64, 59.26);(208.45, 60.15);(217.72, 60.45);(206.36, 61.35);(224.3, 75.43);(201.57, 76.33);(230.58, 93.1);(194.4, 91.0);(231.18, 109.87);(189.91, 105.67);(220.12, 108.97);(205.46, 108.37);(219.22, 133.82);(205.76, 134.12);(219.52, 157.18);(208.45, 155.39)
0.87;videos/cuts_train/fall01.mp4;walk;(210.71, 62.06);(213.11, 59.36);(208.91, 59.96);(217.9, 60.56);(206.82, 61.46);(224.49, 75.86);(202.03, 76.46);(230.48, 93.56);(194.54, 90.56);(230.78, 111.26);(191.54, 105.56);(220.3, 109.46);(205.32, 109.16);(219.4, 132.85);(205.62, 133.45);(219.1, 156.85);(208.32, 155.35)
0.9;videos/cuts_train/fall01.mp4;walk;(210.8, 61.95);(212.89, 59.55);(209.01, 59.85);(217.97, 60.45);(206.92, 61.05);(224.54, 76.32);(202.14, 76.32);(230.81, 93.69);(194.68, 90.99);(231.11, 111.36);(192.29, 105.67);(219.76, 109.56);(205.43, 109.56);(219.16, 133.81);(205.13, 133.81);(219.16, 156.57);(208.71, 154.78)
0.93;videos/cuts_train/fall01.mp4;walk;(211.18, 61.56);(213.27, 59.46);(209.39, 59.46);(218.04, 60.06);(207.3, 61.26);(224.6, 75.95);(201.93, 76.25);(230.27, 93.93);(195.37, 92.13);(231.76, 111.02);(192.69, 106.22);(220.13, 109.52);(205.51, 109.52);(219.23, 133.51);(204.92, 133.51);(219.23, 156.59);(208.2, 154.49)
0.97;videos/cuts_train/fall01.mp4;walk;(211.21, 61.23);(213.6, 59.13);(209.41, 59.13);(218.39, 59.73);(207.32, 60.93);(224.67, 75.9);(202.24, 75.9);(230.65, 93.57);(195.96, 92.37);(231.84, 110.64);(193.56, 106.45);(219.88, 109.74);(205.23, 109.44);(218.98, 134.0);(204.63, 134.0);(218.98, 156.76);(208.52, 154.97)
1.0;videos/cuts_train/fall01.mp4;walk;(211.58, 60.88);(213.97, 58.78);(209.79, 59.08);(218.45, 59.68);(207.4, 60.28);(224.72, 75.56);(201.72, 75.86);(230.99, 93.24);(196.95, 92.34);(231.59, 111.22);(194.26, 107.33);(219.64, 109.42);(205.01, 109.42);(219.04, 133.7);(204.71, 133.4);(219.04, 157.07);(207.1, 154.97)
1.03;videos/cuts_train/fall01.mp4;walk;(211.48, 60.27);(213.87, 58.17);(209.69, 58.77);(218.36, 59.37);(207.29, 59.97);(224.34, 74.66);(201.91, 75.56);(230.03, 92.95);(197.72, 91.15);(230.92, 110.95);(195.33, 106.75);(219.26, 109.15);(204.9, 109.15);(218.96, 133.44);(204.3, 133.44);(218.96, 157.12);(207.89, 155.03)
1.07;videos/cuts_train/fall01.mp4;walk;(211.48, 59.97);(213.88, 57.88);(209.38, 58.18);(218.38, 59.37);(207.28, 59.97);(224.37, 74.64);(202.19, 74.94);(230.37, 92.61);(197.99, 90.81);(230.97, 110.87);(196.19, 106.68);(218.98, 109.08);(204.88, 108.78);(218.98, 133.33);(204.28, 133.33);(219.28, 157.28);(208.78, 155.19)
1.1;videos/cuts_train/fall01.mp4;walk;(211.18, 59.82);(213.27, 58.02);(209.08, 58.02);(218.07, 58.92);(206.98, 59.82);(224.06, 74.5);(201.89, 74.8);(228.26, 91.27);(197.69, 90.97);(229.76, 109.84);(195.89, 105.95);(218.97, 109.54);(204.58, 109.54);(218.37, 133.21);(204.28, 133.81);(218.97, 156.57);(208.48, 155.07)
1.13;videos/cuts_train/fall01.mp4;walk;(210.97, 58.98);(213.37, 57.18);(208.87, 57.48);(217.87, 58.68);(206.77, 59.58);(223.88, 73.97);(201.67, 74.57);(228.98, 90.16);(197.77, 91.06);(229.88, 108.75);(195.67, 106.35);(219.07, 108.45);(204.67, 108.15);(218.47, 133.33);(204.07, 133.33);(218.77, 156.72);(207.37, 155.82)
1.17;videos/cuts_train/fall01.mp4;walk;(210.42, 58.99);(212.82, 56.89);(208.32, 57.19);(217.61, 58.69);(206.23, 59.59);(223.9, 73.68);(201.44, 74.88);(228.69, 90.18);(197.54, 90.48);(229.59, 109.07);(195.75, 106.67);(218.81, 108.77);(204.13, 108.47);(218.51, 133.96);(204.13, 133.96);(218.81, 157.36);(206.83, 157.66)
1.2;videos/cuts_train/fall01.mp4;walk;(209.9, 58.78);(212.58, 56.68);(207.81, 56.98);(217.36, 58.78);(205.72, 59.68);(223.32, 73.78);(201.24, 74.68);(229.29, 89.97);(197.36, 90.87);(228.99, 109.17);(195.57, 106.77);(218.25, 108.87);(203.63, 108.87);(218.55, 133.76);(204.82, 134.06);(218.85, 156.25);(207.51, 158.65)
1.23;videos/cuts_train/fall01.mp4;walk;(209.68, 58.79);(212.07, 56.39);(207.59, 56.99);(216.55, 58.19);(205.5, 59.09);(222.83, 73.19);(200.72, 74.68);(228.5, 89.98);(197.43, 90.88);(228.2, 109.17);(195.64, 107.37);(218.05, 107.97);(203.7, 107.97);(218.34, 133.16);(204.9, 133.46);(218.94, 156.55);(207.29, 158.95)
1.27;videos/cuts_train/fall01.mp4;walk;(209.08, 58.48);(211.47, 56.38);(206.7, 56.98);(215.64, 57.88);(204.61, 59.38);(222.5, 73.17);(199.84, 74.96);(228.46, 89.95);(197.16, 91.75);(227.87, 108.83);(195.96, 107.03);(218.03, 107.63);(203.72, 107.63);(218.63, 133.11);(205.21, 133.11);(218.92, 156.79);(207.29, 159.19)
1.3;videos/cuts_train/fall01.mp4;walk;(208.68, 58.65);(210.77, 56.25);(206.29, 57.15);(214.95, 57.75);(203.9, 58.95);(221.82, 73.04);(199.12, 74.84);(226.9, 89.83);(196.13, 92.23);(227.2, 107.82);(194.93, 107.82);(217.64, 107.82);(203.3, 108.12);(218.84, 133.61);(204.79, 133.91);(219.43, 157.59);(207.48, 160.29)
1.33;videos/cuts_train/fall01.mp4;walk;(207.89, 58.81);(210.28, 56.42);(205.8, 56.72);(214.46, 58.22);(203.12, 58.51);(221.63, 73.48);(198.34, 74.38);(226.11, 90.24);(196.25, 91.44);(227.31, 108.5);(195.05, 107.6);(217.45, 108.5);(203.42, 109.09);(218.35, 133.64);(204.91, 133.93);(219.54, 157.88);(207.0, 160.87)
1.37;videos/cuts_train/fall01.mp4;walk;(206.87, 58.66);(209.26, 56.26);(204.48, 56.56);(213.44, 58.06);(201.79, 58.36);(220.62, 73.04);(197.9, 74.84);(226.59, 90.12);(195.81, 92.22);(227.19, 109.0);(194.91, 108.1);(217.03, 108.1);(202.68, 108.7);(218.23, 133.27);(205.08, 133.57);(219.12, 157.55);(207.17, 160.84)
1.4;videos/cuts_train/fall01.mp4;walk;(206.12, 59.05);(208.51, 56.36);(204.04, 57.25);(212.68, 57.85);(201.36, 59.35);(219.53, 72.82);(197.48, 75.21);(225.79, 90.48);(194.8, 91.98);(226.09, 109.34);(193.61, 107.54);(216.25, 107.84);(201.66, 108.44);(218.04, 133.88);(204.64, 135.38);(218.94, 157.53);(207.32, 160.52)
1.43;videos/cuts_train/fall01.mp4;walk;(205.08, 58.76);(207.17, 56.66);(202.7, 56.96);(211.64, 58.16);(200.02, 59.66);(219.08, 73.16);(196.15, 75.56);(224.74, 91.16);(193.46, 92.66);(225.94, 109.15);(191.97, 107.95);(215.81, 108.85);(201.21, 109.75);(218.19, 134.35);(205.08, 135.85);(219.68, 157.74);(208.36, 160.74)
1.47;videos/cuts_train/fall01.mp4;walk;(203.88, 58.47);(205.97, 56.37);(201.8, 56.37);(210.44, 57.57);(198.81, 58.77);(218.19, 73.47);(195.83, 75.87);(224.75, 90.86);(192.85, 92.06);(226.24, 109.16);(191.66, 108.86);(215.21, 108.86);(200.9, 109.16);(217.3, 134.66);(204.78, 135.86);(219.09, 157.46);(208.35, 161.06)
1.5;videos/cuts_train/fall01.mp4;walk;(203.14, 58.14);(205.22, 55.74);(200.75, 56.64);(209.7, 57.24);(198.06, 59.34);(218.06, 73.13);(194.18, 75.23);(224.32, 91.73);(190.9, 92.03);(226.11, 109.73);(189.41, 108.83);(214.77, 107.93);(200.15, 109.43);(217.16, 134.32);(204.03, 136.72);(218.65, 157.12);(208.51, 161.32)
1.53;videos/cuts_train/fall01.mp4;walk;(202.36, 57.94);(204.45, 55.54);(199.67, 56.44);(208.62, 57.34);(196.99, 59.43);(217.27, 73.22);(193.71, 75.31);(223.83, 91.5);(189.83, 91.79);(225.91, 109.47);(188.34, 107.98);(214.29, 108.87);(199.67, 109.47);(216.37, 134.64);(203.55, 136.74);(219.35, 158.61);(208.02, 161.61)
1.57;videos/cuts_train/fall01.mp4;walk;(201.88, 57.72);(203.38, 55.03);(198.88, 56.53);(207.87, 56.82);(195.88, 59.22);(216.27, 72.69);(192.58, 75.38);(223.17, 92.15);(188.68, 92.75);(225.27, 109.81);(186.58, 108.91);(213.87, 109.51);(198.58, 109.81);(216.57, 135.56);(203.08, 136.45);(218.97, 158.31);(208.47, 161.6)
1.6;videos/cuts_train/fall01.mp4;walk;(200.85, 57.34);(202.64, 54.94);(197.86, 56.14);(206.22, 56.74);(194.88, 59.44);(215.18, 72.63);(191.59, 75.33);(221.75, 92.11);(187.71, 92.11);(224.74, 110.1);(185.33, 109.2);(213.69, 110.1);(198.16, 111.0);(216.67, 135.89);(202.94, 137.38);(218.47, 158.37);(208.91, 161.37)
1.63;videos/cuts_train/fall01.mp4;walk;(200.02, 57.47);(201.81, 55.07);(197.04, 56.57);(205.68, 56.57);(194.06, 59.56);(214.93, 72.73);(191.08, 76.02);(221.19, 91.88);(187.8, 91.59);(223.87, 109.84);(185.41, 109.54);(213.44, 110.14);(197.93, 111.04);(216.42, 135.58);(202.41, 137.37);(217.91, 158.02);(208.67, 161.02)
1.67;videos/cuts_train/fall01.mp4;walk;(199.74, 57.2);(201.54, 54.5);(196.45, 56.0);(205.42, 56.6);(193.47, 59.6);(214.69, 72.48);(190.78, 75.77);(220.96, 91.65);(187.79, 91.65);(223.65, 109.62);(190.18, 82.36);(213.19, 110.82);(197.05, 111.12);(216.18, 135.68);(201.54, 137.18);(218.57, 158.75);(209.31, 161.14)
1.7;videos/cuts_train/fall01.mp4;walk;(198.71, 56.78);(200.8, 53.79);(195.72, 55.59);(204.99, 56.18);(193.03, 59.78);(214.25, 72.96);(189.74, 75.35);(220.53, 91.82);(184.96, 91.22);(222.92, 109.79);(188.55, 82.24);(212.46, 109.19);(196.32, 110.39);(214.85, 135.25);(201.4, 137.04);(217.54, 157.41);(208.87, 161.0)
1.73;videos/cuts_train/fall01.mp4;walk;(198.17, 57.29);(199.97, 53.99);(194.87, 55.79);(204.47, 55.79);(192.17, 59.69);(213.76, 72.88);(188.57, 75.28);(220.06, 92.38);(183.48, 92.68);(222.76, 109.47);(180.48, 108.27);(211.67, 108.87);(195.77, 110.07);(214.36, 135.27);(201.17, 137.07);(217.36, 158.06);(208.67, 160.76)
1.77;videos/cuts_train/fall01.mp4;walk;(197.91, 57.3);(199.4, 53.71);(194.62, 55.8);(204.18, 55.5);(191.94, 59.39);(212.83, 72.87);(187.76, 74.96);(219.1, 91.72);(182.38, 92.02);(222.09, 109.39);(179.4, 106.99);(211.04, 108.49);(194.92, 110.29);(212.83, 134.83);(200.89, 136.93);(216.42, 158.78);(207.76, 160.58)
1.8;videos/cuts_train/fall01.mp4;walk;(197.58, 56.35);(199.08, 53.36);(194.0, 55.46);(203.55, 55.46);(191.62, 59.35);(212.5, 73.12);(187.44, 74.61);(218.17, 91.67);(181.77, 91.67);(220.86, 108.73);(177.89, 107.54);(210.12, 108.43);(194.6, 110.53);(212.21, 134.47);(200.27, 136.87);(216.08, 159.02);(207.13, 160.51)
1.83;videos/cuts_train/fall01.mp4;walk;(196.75, 56.21);(198.55, 53.81);(193.75, 55.31);(203.05, 55.61);(191.05, 58.61);(211.74, 73.0);(186.85, 74.2);(217.74, 91.28);(180.86, 89.49);(220.74, 108.37);(176.96, 105.67);(209.65, 108.67);(194.05, 109.57);(210.85, 134.45);(199.45, 136.85);(214.14, 159.34);(207.25, 161.14)
1.87;videos/cuts_train/fall01.mp4;walk;(196.71, 56.73);(198.21, 53.44);(193.41, 55.23);(202.7, 55.23);(190.72, 58.83);(211.39, 72.9);(186.82, 73.8);(217.08, 91.46);(179.93, 89.37);(220.67, 108.83);(176.04, 104.63);(208.69, 109.13);(193.71, 110.02);(209.59, 135.77);(199.11, 137.87);(210.79, 160.62);(206.29, 160.62)
1.9;videos/cuts_train/fall01.mp4;walk;(195.8, 56.56);(197.6, 53.87);(192.82, 55.07);(202.07, 54.77);(190.13, 58.36);(210.73, 72.46);(186.25, 73.65);(216.7, 91.34);(179.98, 88.95);(219.69, 109.03);(176.1, 103.94);(208.64, 109.03);(192.82, 109.63);(208.64, 136.62);(198.19, 137.82);(208.64, 161.5);(206.85, 159.4)
1.93;videos/cuts_train/fall01.mp4;walk;(195.58, 56.66);(197.08, 53.67);(192.6, 54.87);(201.85, 54.57);(189.91, 58.46);(210.8, 72.24);(186.03, 73.43);(216.17, 91.4);(180.07, 89.01);(219.16, 109.67);(175.29, 102.78);(208.12, 109.97);(193.2, 110.27);(206.92, 137.22);(198.57, 138.72);(207.22, 164.47);(206.92, 159.68)
1.97;videos/cuts_train/fall01.mp4;walk;(195.12, 56.73);(196.91, 53.44);(192.13, 54.94);(201.69, 54.64);(189.14, 57.63);(210.06, 72.01);(185.55, 73.5);(215.74, 91.48);(179.88, 89.08);(218.13, 109.75);(175.99, 103.16);(207.37, 110.05);(192.43, 110.64);(205.88, 137.3);(197.81, 138.2);(204.98, 165.16);(205.58, 159.46)
2.0;videos/cuts_train/fall01.mp4;walk;(194.85, 56.57);(196.64, 53.58);(191.57, 54.78);(201.42, 54.48);(189.18, 58.07);(209.78, 71.54);(184.99, 73.34);(215.76, 91.6);(178.13, 89.2);(219.04, 109.86);(175.14, 103.57);(207.1, 110.15);(191.86, 110.75);(204.71, 138.29);(197.54, 139.19);(203.51, 166.73);(207.1, 159.55)
2.03;videos/cuts_train/fall01.mp4;walk;(194.65, 56.35);(196.44, 53.05);(191.36, 54.55);(201.23, 54.55);(188.37, 57.25);(209.6, 71.34);(184.78, 73.44);(215.59, 91.13);(177.6, 89.93);(218.88, 108.83);(176.1, 106.43);(206.31, 110.92);(191.36, 111.22);(203.92, 137.31);(197.64, 139.11);(202.43, 167.6);(206.01, 160.1)
2.07;videos/cuts_train/fall01.mp4;walk;(194.33, 56.18);(196.12, 52.88);(191.04, 54.08);(201.2, 54.68);(188.35, 57.08);(209.27, 72.37);(184.17, 73.57);(215.54, 92.16);(177.6, 90.36);(217.63, 111.35);(177.0, 106.85);(205.98, 111.05);(191.04, 111.65);(202.99, 137.74);(197.02, 139.54);(201.2, 169.22);(205.68, 159.93)
2.1;videos/cuts_train/fall01.mp4;walk;(194.04, 55.94);(195.83, 52.94);(190.74, 53.84);(200.32, 54.44);(188.05, 56.54);(209.3, 72.74);(183.86, 73.34);(215.59, 92.24);(177.27, 90.44);(218.88, 110.84);(177.27, 108.74);(205.41, 111.74);(190.14, 111.74);(203.02, 137.83);(196.73, 139.63);(200.62, 169.03);(206.01, 161.23)
2.13;videos/cuts_train/fall01.mp4;walk;(193.54, 56.05);(195.33, 52.46);(190.85, 53.66);(199.8, 54.25);(187.57, 56.35);(209.05, 72.83);(183.09, 73.43);(215.32, 92.3);(177.12, 90.5);(217.11, 109.38);(178.02, 109.08);(204.58, 111.48);(189.36, 112.07);(202.79, 137.84);(196.22, 139.64);(199.8, 166.9);(206.07, 160.31)
2.17;videos/cuts_train/fall01.mp4;walk;(192.62, 55.44);(194.72, 52.45);(190.22, 53.35);(199.82, 53.65);(187.22, 55.74);(208.52, 72.54);(182.42, 72.84);(215.41, 92.34);(177.02, 90.84);(217.51, 109.74);(178.52, 109.14);(204.02, 112.14);(188.72, 112.44);(202.22, 138.54);(195.32, 140.64);(200.12, 167.94);(205.82, 160.74)
2.2;videos/cuts_train/fall01.mp4;walk;(192.39, 54.92);(194.49, 52.23);(189.7, 52.83);(199.57, 53.13);(187.01, 55.22);(207.94, 72.01);(182.23, 72.31);(214.82, 91.8);(177.15, 91.2);(217.21, 110.09);(178.64, 108.59);(203.46, 111.59);(187.91, 111.89);(201.66, 138.27);(194.49, 140.66);(200.17, 167.95);(205.25, 159.85)
2.23;videos/cuts_train/fall01.mp4;walk;(191.5, 54.72);(194.2, 52.02);(189.11, 52.32);(199.28, 53.52);(186.12, 54.72);(207.95, 71.82);(181.34, 71.82);(214.83, 91.92);(177.15, 91.32);(216.92, 110.51);(178.05, 108.71);(203.17, 111.71);(187.62, 111.71);(201.37, 139.91);(192.7, 140.21);(200.18, 169.0);(204.36, 159.7)
2.27;videos/cuts_train/fall01.mp4;walk;(191.16, 54.06);(193.86, 51.66);(188.76, 51.96);(198.35, 53.46);(185.46, 54.06);(207.35, 71.44);(180.96, 72.33);(214.84, 92.71);(176.77, 92.71);(216.94, 111.28);(178.27, 110.98);(202.85, 112.78);(186.96, 113.08);(201.05, 140.34);(191.46, 140.64);(199.85, 169.4);(204.35, 160.12)
2.3;videos/cuts_train/fall01.mp4;walk;(190.48, 53.97);(192.88, 51.27);(187.8, 51.87);(198.26, 53.07);(185.11, 53.67);(206.92, 71.66);(180.62, 71.66);(214.99, 92.64);(175.54, 91.44);(216.78, 112.12);(177.63, 110.33);(202.14, 112.42);(186.0, 112.72);(200.65, 140.3);(189.89, 140.9);(199.75, 169.08);(203.04, 159.49)
2.33;videos/cuts_train/fall01.mp4;walk;(189.46, 53.99);(191.86, 51.3);(187.07, 51.6);(197.55, 52.79);(184.37, 53.69);(206.23, 71.38);(180.18, 71.38);(214.92, 92.66);(175.09, 90.86);(216.41, 112.14);(176.29, 111.24);(201.74, 112.44);(185.57, 112.74);(200.24, 140.61);(188.27, 140.91);(199.64, 167.89);(201.14, 158.0)
